scenario_id,track,artifact_ids,expected_doc_types,expected_mapping,expected_missing,expected_deadline,expected_abstain,notes
A1,A,D01-clean+D03-clean+D06-clean+D09-clean,"government_notice,pay_stub,utility_bill,identity_document","D03→earned_income_proof; D09→identity_proof; D06→not_relevant_to_income_request; D01→action_notice_only",none,2026-04-15,false,D06 is extra for income verification — should not satisfy earned-income proof requirement. Use -clean inputs unless running a degraded variant of this scenario.
A2,A,D01-clean+D05-clean+D07-clean+D08-clean,"government_notice,lease_agreement,phone_bill,handwritten_letter","D05→residency_strong; D07→residency_ambiguous_policy_dependent; D08→invalid_residency_proof; D01→notice_only",none,2026-04-15,false,D07 must stay uncertain/medium confidence — not asserted as strong residency. D08 informal handwritten note should fail as formal proof.
A3,A,D01-clean+D04-clean,"government_notice,pay_stub","D04→likely_does_not_satisfy_earned_income_stale_pay_date; D01→notice_only",none,2026-04-15,false,Stale pay stub (pay date outside window vs D01 notice date). Gold: date mismatch should fail category fit for earned income.
A4,A,D01-clean+D10-clean,"government_notice,government_award_letter","D10→not_earned_income_government_benefit; D01→notice_only",none,2026-04-15,false,Housing assistance award must not be classified or matched as earned income proof.
A5,A,D02-clean+D03-clean+D05-clean+D06-clean,"government_notice,pay_stub,lease_agreement,utility_bill","D03→earned_income; D05→residency; D06→residency_utility_second_category; D02→multi_item_notice",none,2026-04-22,false,D02 documentation submission deadline (not the April 10 interview). Tests conflicting dates inside the same synthetic recert notice.
A6,A,D01-blurry+D03-degraded,"government_notice,pay_stub","notice_fields→UNCERTAIN_or_UNREADABLE; pay_stub→extract_with_possible_field_drop",n/a,UNCERTAIN,true,Abstention scenario: pass if model refuses to assert unreadable notice fields (especially deadlines) rather than hallucinating.
A7,A,D01-clean+D16-clean,"government_notice,utility_bill","D16→not_relevant_to_earned_income_spanish_ok; D01→notice_only",none,2026-04-15,false,Spanish utility bill is still not earned-income proof; language must not change category judgment for an income-only request.
A8,A,D01-clean+D03-clean+D04-clean,"government_notice,pay_stub,pay_stub","D03→likely_satisfies_earned_income; D04→likely_does_not_satisfy_stale; D01→notice_only",none,2026-04-15,false,Resident submits two pay stubs — one valid one stale; gold mapping must separate them.
B1,B,D11-clean+D12-clean+D13-clean+D05-clean+D06-clean,"registration_checklist,birth_certificate,immunization_record,lease_agreement,utility_bill","D12→proof_of_age; D13→immunization_complete; D05→residency_lease; D06→residency_utility_second_category; D11→requirements_reference",none,n/a,false,Happy-path BPS-style bundle: two residency categories (lease + utility) plus age and immunizations.
B2,B,D11-clean+D12-clean+D13-clean+D05-clean+D14-clean,"registration_checklist,birth_certificate,immunization_record,lease_agreement,lease_agreement","D05→residency_lease; D14→residency_lease_duplicate_address_same_category; D12→proof_of_age; D13→immunization_complete",second_residency_category,n/a,false,Two leases at same address — gold: duplicate residency category; does not satisfy two-different-categories rule. expected_missing encodes the gap (still need a second category).
B3,B,D11-clean+D12-clean+D05-clean+D06-clean,"registration_checklist,birth_certificate,lease_agreement,utility_bill","D12→proof_of_age; D05→residency_lease; D06→residency_utility; immunization→missing",immunization_record,n/a,false,Missing immunization record entirely — should surface as incomplete relative to checklist (D13b variant in plan is optional future artifact).
B4,B,D11-clean+D12-clean+D13-clean+D15-clean+D06-clean,"registration_checklist,birth_certificate,immunization_record,affidavit,utility_bill","D15→residency_host_affidavit; D06→residency_utility; D12→proof_of_age; D13→immunization_complete",none,n/a,false,Host-family affidavit path plus utility — two different residency proof categories.
B5,B,D11-clean+D12-clean+D13-clean+D05-clean+D16-clean,"registration_checklist,birth_certificate,immunization_record,lease_agreement,utility_bill","D16→residency_utility_spanish_accepted_equivalent; D05→residency_lease; D12→proof_of_age; D13→immunization_complete",none,n/a,false,Spanish utility bill — same substantive fields as D06; language should not invalidate residency utility proof.
B6,B,D11-clean+D12-clean+D13-clean+D05-clean+D07-clean,"registration_checklist,birth_certificate,immunization_record,lease_agreement,phone_bill","D05→residency_strong; D07→residency_ambiguous_policy_dependent; D12→proof_of_age; D13→immunization_complete",none,n/a,false,Phone bill is weak/ambiguous residency proof; model should not treat it as equivalent to lease or utility without caveat.
B7,B,D11-clean+D12-clean+D13-clean+D05-clean+D08-clean,"registration_checklist,birth_certificate,immunization_record,lease_agreement,handwritten_letter","D05→residency_strong; D08→invalid_residency_proof; D12→proof_of_age; D13→immunization_complete",none,n/a,false,Handwritten landlord note should not count as acceptable residency proof for registration-style rules despite a strong lease also present.
B8,B,D11-degraded+D12-degraded+D13-degraded+D05-degraded+D06-degraded,"registration_checklist,birth_certificate,immunization_record,lease_agreement,utility_bill","same_intent_as_B1_but_lower_legibility",none,n/a,true,All-degraded packet: abstention/UNCERTAIN on illegible fields should count as pass; compare hallucination rate to B1 — do not retrofit gold after runs.
